City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hasaki,35.7333,140.8333,22.38,71,100,1.87,JP,1696470831
1,kapuskasing,49.4169,-82.4331,21.0,68,100,6.17,CA,1696470662
2,albany,42.6001,-73.9662,21.23,88,0,1.56,US,1696470710
3,dunedin,-45.8742,170.5036,21.71,66,100,2.68,NZ,1696470610
4,talnakh,69.4865,88.3972,-3.45,95,100,3.22,RU,1696470831
5,port-aux-francais,-49.35,70.2167,0.4,71,97,13.21,TF,1696470832
6,la passe,45.5549,-0.8967,11.1,68,30,3.26,FR,1696470832
7,hilo,19.7297,-155.09,29.04,79,75,4.12,US,1696470832
8,edinburgh of the seven seas,-37.0676,-12.3116,10.51,66,75,3.87,SH,1696470832
9,xinghua,32.9392,119.8342,21.96,48,40,7.19,CN,1696470832
10,hawaiian paradise park,19.5933,-154.9731,27.73,79,75,4.12,US,1696470833
11,walvis bay,-22.9575,14.5053,13.53,88,10,5.14,NA,1696470833
12,hammerfest,70.6634,23.6821,3.25,81,75,9.26,NO,1696470833
13,kone,-21.0595,164.8658,26.04,45,15,4.13,NC,1696470833
14,georgetown,5.4112,100.3354,29.97,82,20,2.57,MY,1696470719
15,ihosy,-22.4,46.1167,15.29,88,68,3.23,MG,1696470834
16,thompson,55.7435,-97.8558,8.09,87,75,2.57,CA,1696470672
17,mar del plata,-38.0023,-57.5575,7.83,89,0,5.66,AR,1696470834
18,cooma,-36.2333,149.1333,12.16,42,20,7.57,AU,1696470834
19,adamstown,-25.066,-130.1015,20.59,76,100,7.83,PN,1696470835
20,qaqortoq,60.7167,-46.0333,1.69,66,15,2.51,GL,1696470835
21,colonia,50.9333,6.95,14.38,78,0,3.6,DE,1696470835
22,olonkinbyen,70.9221,-8.7187,-0.24,66,96,5.88,SJ,1696470835
23,hermanus,-34.4187,19.2345,14.98,92,100,1.76,ZA,1696470835
24,neryungri,56.6709,124.6491,0.69,87,96,3.21,RU,1696470836
25,nemuro,43.3236,145.575,15.25,94,100,6.97,JP,1696470836
26,broome,42.2506,-75.833,20.0,91,0,2.04,US,1696470564
27,selfoss,63.9331,-20.9971,5.02,89,100,3.51,IS,1696470836
28,punta arenas,-53.15,-70.9167,9.06,59,75,5.66,CL,1696470790
29,saipan,15.1355,145.701,28.39,89,75,4.63,MP,1696470837
30,bargaal,11.2864,51.0773,26.45,87,31,3.76,SO,1696470837
31,coronel dorrego,-38.7187,-61.2873,5.33,74,0,2.82,AR,1696470837
32,port elizabeth,-33.918,25.5701,17.4,96,40,1.34,ZA,1696470837
33,redencao,-4.2258,-38.7306,21.99,94,45,0.59,BR,1696470837
34,waitangi,-43.9535,-176.5597,12.12,87,23,3.58,NZ,1696470838
35,prairie ridge,47.1376,-122.1487,17.78,80,0,0.45,US,1696470838
36,bethel,41.3712,-73.414,20.36,85,0,0.0,US,1696470589
37,chonchi,-42.6128,-73.8092,8.56,98,37,0.88,CL,1696470838
38,wailua homesteads,22.0669,-159.378,28.24,79,100,5.14,US,1696470839
39,lazaro cardenas,17.9583,-102.2,27.73,78,79,1.07,MX,1696470839
40,utrik,11.2278,169.8474,28.59,75,56,7.09,MH,1696470839
41,muscat,23.6139,58.5922,29.01,43,7,2.0,OM,1696470839
42,west island,-12.1568,96.8225,25.99,73,100,7.72,CC,1696470839
43,cox's bazar,21.4532,91.9798,27.33,85,73,5.63,BD,1696470840
44,kodiak,57.79,-152.4072,8.73,81,100,11.32,US,1696470840
45,avarua,-21.2078,-159.775,26.03,78,75,10.8,CK,1696470840
46,vilyuchinsk,52.9306,158.4028,11.15,79,100,1.43,RU,1696470840
47,semey,50.4111,80.2275,5.12,93,40,1.0,KZ,1696470840
48,susuman,62.7833,148.1667,-1.12,73,59,1.34,RU,1696470841
49,bredasdorp,-34.5322,20.0403,15.42,96,100,1.79,ZA,1696470841
50,puerto natales,-51.7236,-72.4875,4.66,85,100,2.95,CL,1696470841
51,ust-nera,64.5667,143.2,1.79,58,100,1.34,RU,1696470841
52,sao joao da barra,-21.6403,-41.0511,23.23,91,43,9.03,BR,1696470842
53,khovd,48.0056,91.6419,7.38,53,18,0.86,MN,1696470842
54,burutu,5.3509,5.5076,25.18,92,100,2.53,NG,1696470550
55,gwandu,12.4938,4.6423,27.53,60,100,1.41,NG,1696470842
56,tiksi,71.6872,128.8694,-2.22,86,100,1.72,RU,1696470842
57,bang saphan,11.2126,99.5117,28.3,78,100,2.46,TH,1696470843
58,ancud,-41.8697,-73.8203,7.45,91,11,1.8,CL,1696470843
59,grytviken,-54.2811,-36.5092,2.57,67,9,5.4,GS,1696470843
60,tofol,5.3248,163.0078,28.56,76,92,4.19,FM,1696470843
61,papatowai,-46.5619,169.4708,19.43,55,100,2.36,NZ,1696470844
62,ushibukamachi,32.1906,130.0228,22.65,66,94,8.56,JP,1696470844
63,berdigestyakh,62.0989,126.6992,-2.06,82,100,1.79,RU,1696470844
64,anadyr,64.75,177.4833,3.28,74,40,4.0,RU,1696470845
65,el bolson,-41.9667,-71.5167,2.47,95,8,2.63,AR,1696470845
66,ushuaia,-54.8,-68.3,9.81,53,75,6.69,AR,1696470845
67,blackmans bay,-43.0167,147.3167,15.41,49,96,6.52,AU,1696470845
68,coahuayana de hidalgo,18.7,-103.6583,27.0,87,72,1.82,MX,1696470845
69,port mathurin,-19.6833,63.4167,23.39,80,24,6.9,MU,1696470846
70,utete,-7.986,38.758,22.36,93,36,1.08,TZ,1696470846
71,nova sintra,14.8667,-24.7167,24.14,79,100,3.5,CV,1696470846
72,yigo village,13.5361,144.8886,29.3,77,75,6.69,GU,1696470846
73,margaret river,-33.95,115.0667,18.25,59,56,2.51,AU,1696470847
74,ribeira grande,38.5167,-28.7,23.21,94,100,8.49,PT,1696470847
75,bilibino,68.0546,166.4372,-9.31,84,5,1.01,RU,1696470847
76,akom ii,2.7833,10.5667,21.66,100,100,0.68,CM,1696470847
77,isafjordur,66.0755,-23.124,2.52,93,100,6.63,IS,1696470848
78,bichena,10.45,38.2,9.66,61,25,1.45,ET,1696470848
79,forrest city,35.0081,-90.7898,21.37,77,100,2.51,US,1696470848
80,sastobe,42.55,70.0,11.94,33,0,2.06,KZ,1696470848
81,kalmunai,7.4167,81.8167,26.3,84,89,3.12,LK,1696470849
82,manismata,-2.4667,111.0333,32.94,48,1,2.25,ID,1696470849
83,longyearbyen,78.2186,15.6401,-1.09,55,20,4.63,SJ,1696470849
84,baley,51.6,116.6333,6.95,52,32,1.57,RU,1696470849
85,as sulaymaniyah,35.5611,45.4375,16.28,67,1,0.9,IQ,1696470849
86,college,64.8569,-147.8028,3.58,64,40,4.63,US,1696470850
87,whitehorse,60.7161,-135.0538,2.79,56,20,2.06,CA,1696470850
88,come,6.4076,1.882,24.57,93,100,2.56,BJ,1696470850
89,antonio enes,-16.2325,39.9086,22.79,89,0,1.42,MZ,1696470850
90,brandon,27.9378,-82.2859,27.16,82,0,4.12,US,1696470791
91,kari,11.2471,10.561,26.46,51,91,2.6,NG,1696470851
92,novouzensk,50.4592,48.1431,10.86,64,1,2.51,RU,1696470851
93,yangzhou,32.3972,119.4358,21.98,52,55,7.09,CN,1696470851
